bank,portfolio,STAGE,am,rate_init,rate,am19,rate_init19,rate19
VTB,SME,ST3_2,0,0,0,0,0,0
VTB,SME,ST1_3,686,0,0.0032,205,0.0012,0.0011
VTB,SME,ST2_3,2028,10.7872,0.2386,2552,4.2043,6.4201
VTB,SME,ST2_1,1326,7.0532,0.156,2466,4.0626,6.2038
VTB,SME,ST3_1,1469,0.4953,0.5034,526,0.2413,0.2044
VTB,CONS,ST1_2,37964,0.0813,0.0726,37658,0.0754,0.0779
VTB,CONS,ST3_2,2025,0.0861,0.0825,4481,0.2181,0.2034
VTB,CONS,ST1_3,172,0.0004,0.0003,878,0.0018,0.0018
VTB,CONS,ST2_3,11838,2.4616,0.8999,17689,1.9727,2.5681
VTB,CONS,ST2_1,11001,2.2876,0.8362,26584,2.9646,3.8595
VTB,CONS,ST3_1,2878,0.1223,0.1172,4498,0.219,0.2041
PCB,SME,ST1_2,132667,0.1294,0.1154,54269,0.0544,0.0537
PCB,SME,ST3_2,4074,0.1336,0.1133,1156,0.0402,0.039
PCB,SME,ST1_3,1593,0.0016,0.0014,10398,0.0104,0.0103
PCB,SME,ST2_3,16557,0.4545,0.298,15926,0.664,0.5272
PCB,SME,ST2_1,96752,2.6556,1.7412,17708,0.7383,0.5862
PCB,SME,ST3_1,32,0.001,0.0009,67,0.0023,0.0023
BAS,CORP,ST1_2,97194,0.1455,0.1366,201455,0.3326,0.3164
BAS,CORP,ST3_2,0,0,0,0,0,0
BAS,CORP,ST1_3,31309,0.0469,0.044,10438,0.0172,0.0164
BAS,CORP,ST2_3,23825,0.2655,0.3105,41437,0.6949,0.5549
BAS,CORP,ST2_1,47517,0.5296,0.6194,79417,1.3319,1.0635
BAS,CORP,ST3_1,723,0.0183,0.0137,5443,0.1842,0.1579
BAS,IPO,ST1_2,5393,0.0436,0.0416,14242,0.1535,0.1316
BAS,IPO,ST3_2,0,0,0,0,0,0
BAS,IPO,ST1_3,3323,0.0269,0.0256,2389,0.0257,0.0221
BAS,IPO,ST2_3,2205,0.5768,0.4696,9857,0.2595,0.4715
BAS,IPO,ST2_1,2105,0.5506,0.4483,5983,0.1575,0.2862
BAS,IPO,ST3_1,177,0.0176,0.016,1705,0.2464,0.2008
BAS,CONS,ST1_2,4439,0.0814,0.0836,9024,0.1421,0.1529
BAS,CONS,ST3_2,0,0,0,0,0,0
BAS,CONS,ST1_3,1271,0.0233,0.024,640,0.0101,0.0108
BAS,CONS,ST2_3,2340,0.7154,0.6836,5746,0.4983,0.7763
BAS,CONS,ST2_1,1016,0.3106,0.2968,2006,0.174,0.271
BAS,CONS,ST3_1,80,0.0213,0.02,306,0.0773,0.0793
BAS,CARD,ST1_2,405,0.2043,0.4022,2825,0,0
BAS,CARD,ST3_2,0,0,0,0,0,0
BAS,CARD,ST1_3,403,0.2033,0.4002,538,0,0
BAS,CARD,ST2_3,127,0.0315,0.0543,631,0.1363,0.1457
BAS,CARD,ST2_1,1688,0.4188,0.7214,1,0.0002,0.0002
BAS,CARD,ST3_1,1,0.003,0.0029,2,0.003,0.007
SILK,CORP,ST1_2,4837,0.7371,1.4315,0,0,0
SILK,CORP,ST1_3,0,0,0,1048,0.1387,0.1485
SILK,RETAIL,ST1_2,479,0.0947,0.105,551,0.0808,0.0928
SILK,RETAIL,ST3_2,22,0.0107,0.0144,0,0,0
SILK,RETAIL,ST1_3,393,0.0777,0.0861,1273,0.1868,0.2144
SILK,RETAIL,ST2_3,134,0.22,0.2285,381,0.3411,0.4415
Halyk,Total,ST1_2,247733,0.6688,0.7958,28248,0.0779,0.0771
Halyk,Total,ST2_1,2288,0.1565,0.0214,140,0.0096,0.0096
Halyk,Total,ST2_3,59466,4.0686,0.557,26364,1.8108,1.8073
ZIR,IPO,ST1_2,418.8,0.0726,0.0711,225.4,0.0447,0.0417
ZIR,IPO,ST1_3,135.15,0.0234,0.0229,106.5,0.0211,0.0197
ZIR,IPO,ST3_1,50.6,0.2166,0.1781,0,0,0
ZIR,CONS,ST2_1,6.6,1,0.5093,44,1,1.7391
ZIR,CONS,ST3_1,0,0,0,51.5,0.2299,0.3801
ZIR,CONS,ST1_2,26.96,0.0101,0.0091,13.4,0.0039,0.0044
ZIR,CONS,ST1_3,27.31,0.0102,0.0093,25,0.0073,0.0082
ZIR,MSME,ST1_2,4359,0.1258,0.1237,6067,0.2378,0.2016
ZIR,MSME,ST1_3,247,0.0071,0.007,0,0,0
CREDO,AGRO_MC,ST1_2,19616,0.0644,0.0592,3914,0.0223,0.0206
CREDO,AGRO_MC,ST3_2,186,0.0928,0.0738,263,0.2807,0.2207
CREDO,AGRO_MC,ST1_3,32,0.0001,0.0001,28,0.0002,0.0001
CREDO,AGRO_MC,ST2_3,5456,0.5392,0.3571,4036,0.3417,0.3783
CREDO,AGRO_MC,ST2_1,558,0.0551,0.0365,957,0.081,0.0897
CREDO,AGRO_MC,ST3_1,127,0.0633,0.0504,110,0.1174,0.0923
CREDO,SME,ST1_2,45567,0.2801,0.29,6094,0.048,0.0421
CREDO,SME,ST3_2,0,0,0,96,1.4118,0.3351
CREDO,SME,ST1_3,38,0.0002,0.0002,0,0,0
CREDO,SME,ST2_3,1116,0.1873,0.0387,1604,0.2862,0.2774
CREDO,SME,ST2_1,1203,0.2019,0.0417,3318,0.592,0.5738
CREDO,SME,ST3_1,38,0.0752,0.0733,118,1.7353,0.4119
CREDO,URBAN_MC,ST1_2,20070,0.1271,0.1124,2368,0.0223,0.0194
CREDO,URBAN_MC,ST3_2,23,0.0414,0.0164,145,0.1946,0.2363
CREDO,URBAN_MC,ST1_3,37,0.0002,0.0002,26,0.0002,0.0002
CREDO,URBAN_MC,ST2_3,3390,0.944,0.299,2181,0.4184,0.4955
CREDO,URBAN_MC,ST2_1,384,0.1069,0.0339,810,0.1554,0.184
CREDO,URBAN_MC,ST3_1,34,0.0613,0.0243,40,0.0537,0.0652
CREDO,CONS,ST1_2,15330,0.0879,0.0757,1504,0.0482,0.0339
CREDO,CONS,ST3_2,32,0.0526,0.0092,17,0.1083,0.0899
CREDO,CONS,ST1_3,3,0,0,1,0,0
